funded_amnt,addr_state,annual_inc,application_type,dti,earliest_cr_line,emp_length,emp_title,fico_range_high,fico_range_low,grade,home_ownership,id,initial_list_status,installment,int_rate,loan_amnt,mort_acc,open_acc,pub_rec,pub_rec_bankruptcies,purpose,revol_bal,revol_util,sub_grade,term,title,total_acc,verification_status,zip_code,last_pymnt_amnt,num_actv_rev_tl,mo_sin_rcnt_rev_tl_op,mo_sin_old_rev_tl_op,bc_util,bc_open_to_buy,avg_cur_bal,acc_open_past_24mths
17500.0,IN,35000.0,Individual,35.12,Aug-2003,10+ years,Shareholder Mutual Fund Rep,669.0,665.0,E,MORTGAGE,68525431,w,458.6,19.48,17500.0,0.0,17.0,1.0,0.0,debt_consolidation,9937.0,53.7,E2, 60 months,Debt consolidation,23.0,Not Verified,462xx,458.6,6.0,19.0,89.0,78.4,2113.0,1401.0,2.0
29850.0,TX,225000.0,Individual,0.37,Nov-1999,4 years,Director of Engineering,669.0,665.0,D,OWN,68132560,w,1078.7,17.97,29850.0,3.0,5.0,0.0,0.0,debt_consolidation,1101.0,19.0,D4, 36 months,Debt consolidation,15.0,Source Verified,775xx,0.0,2.0,27.0,119.0,20.0,4399.0,79044.0,2.0
35000.0,MD,150000.0,Individual,5.23,Nov-2000,2 years,Manager,699.0,695.0,C,MORTGAGE,67789843,w,808.42,13.67,35000.0,3.0,10.0,0.0,0.0,home_improvement,11796.0,47.0,C4, 60 months,Home improvement,42.0,Source Verified,212xx,35358.84,2.0,6.0,180.0,53.4,10304.0,36441.0,6.0
24000.0,CA,300000.0,Individual,13.84,Feb-1989,6 years,Senior Vice President ,724.0,720.0,A,MORTGAGE,67878314,w,722.76,5.32,24000.0,4.0,11.0,0.0,0.0,home_improvement,106880.0,44.7,A1, 36 months,Home improvement,27.0,Verified,945xx,8483.75,5.0,24.0,317.0,44.3,14653.0,118138.0,3.0
8525.0,TN,65000.0,Individual,15.77,Sep-2005,8 years,Battalion Chief,669.0,665.0,E,MORTGAGE,67788644,w,312.45,18.99,8525.0,2.0,16.0,0.0,0.0,other,3523.0,27.7,E3, 36 months,Other,32.0,Verified,377xx,7748.85,3.0,2.0,119.0,46.4,4077.0,7950.0,13.0
5000.0,CA,23000.0,Individual,26.36,Jun-1996,1 year,stylist,779.0,775.0,A,RENT,68475193,f,153.23,6.49,5000.0,0.0,11.0,0.0,0.0,debt_consolidation,3780.0,20.5,A2, 36 months,Debt consolidation,15.0,Source Verified,950xx,1642.78,7.0,29.0,234.0,20.6,13813.0,1263.0,2.0
3000.0,TX,74000.0,Individual,28.43,Oct-2005,10+ years,Senior client service associate,669.0,665.0,B,RENT,66584077,w,98.9,11.48,3000.0,2.0,14.0,0.0,0.0,debt_consolidation,7986.0,68.3,B5, 36 months,Debt consolidation,37.0,Not Verified,750xx,274.24,8.0,3.0,122.0,75.9,554.0,7460.0,5.0
3500.0,MA,54000.0,Individual,11.33,Jul-1998,1 year,Tech,709.0,705.0,B,RENT,68534657,w,110.48,8.49,3500.0,0.0,7.0,0.0,0.0,debt_consolidation,984.0,5.9,B1, 36 months,Debt consolidation,12.0,Not Verified,026xx,110.48,1.0,10.0,209.0,8.1,11116.0,2390.0,4.0
25000.0,IL,60000.0,Individual,26.62,Jul-1996,3 years,Immigration analyst,709.0,705.0,B,MORTGAGE,66006075,w,804.34,9.8,25000.0,0.0,9.0,0.0,0.0,debt_consolidation,10867.0,56.0,B3, 36 months,Debt consolidation,12.0,Not Verified,600xx,3193.11,3.0,16.0,233.0,62.1,6633.0,17055.0,2.0
20000.0,WA,113544.0,Individual,21.86,Apr-1997,9 years,Active Duty Uniformed Services (LCDR),699.0,695.0,B,MORTGAGE,68593130,w,637.58,9.17,20000.0,2.0,10.0,0.0,0.0,debt_consolidation,45164.0,98.2,B2, 36 months,Debt consolidation,32.0,Not Verified,986xx,637.51,6.0,37.0,82.0,98.6,436.0,36525.0,0.0
5600.0,FL,100000.0,Individual,15.1,Aug-2003,7 years,Director of Operations,669.0,665.0,B,MORTGAGE,68594293,w,180.18,9.8,5600.0,2.0,11.0,0.0,0.0,debt_consolidation,15132.0,81.8,B3, 36 months,Debt consolidation,34.0,Source Verified,322xx,1233.53,6.0,16.0,95.0,82.0,3307.0,39128.0,3.0
24000.0,MN,80000.0,Individual,12.35,Aug-2000,10+ years,manager,714.0,710.0,C,MORTGAGE,67735948,w,551.5,13.44,24000.0,1.0,17.0,0.0,0.0,debt_consolidation,10871.0,46.5,C3, 60 months,Debt consolidation,38.0,Source Verified,553xx,13812.48,3.0,8.0,157.0,76.0,3429.0,7740.0,4.0
18000.0,MI,96000.0,Individual,22.55,Oct-1996,10+ years,DIRECTOR OF BRAND MARKETING,714.0,710.0,B,MORTGAGE,68475600,w,568.14,8.49,18000.0,4.0,18.0,0.0,0.0,debt_consolidation,20507.0,23.7,B1, 36 months,Debt consolidation,34.0,Not Verified,483xx,4980.95,9.0,10.0,230.0,25.5,54840.0,7690.0,6.0
5000.0,MI,45250.0,Individual,25.93,Aug-2004,3 years,Teacher,684.0,680.0,C,OWN,67819340,w,166.05,11.99,5000.0,0.0,13.0,0.0,0.0,debt_consolidation,2378.0,39.0,C1, 36 months,Debt consolidation,53.0,Source Verified,482xx,171.46,8.0,0.0,128.0,56.2,219.0,14903.0,9.0
20000.0,VA,56000.0,Individual,14.06,Jun-2004,10+ years,E6,664.0,660.0,C,RENT,67665878,w,453.84,12.88,20000.0,0.0,8.0,1.0,0.0,other,16433.0,81.8,C2, 60 months,Other,27.0,Source Verified,235xx,453.84,2.0,13.0,138.0,0.0,2300.0,3187.0,3.0
8000.0,MA,54000.0,Individual,19.16,Jul-2004,10+ years,Assistant Branch Managet,704.0,700.0,C,MORTGAGE,68354777,w,269.09,12.88,8000.0,0.0,19.0,0.0,0.0,home_improvement,5900.0,17.0,C2, 36 months,Home improvement,21.0,Verified,018xx,269.09,6.0,7.0,66.0,21.7,18091.0,1465.0,11.0
11450.0,AL,53000.0,Individual,32.22,Dec-1998,10+ years,Dual Enrollment Coordinator,729.0,725.0,F,RENT,68583973,w,323.64,23.13,11450.0,0.0,12.0,1.0,1.0,debt_consolidation,7625.0,18.2,F2, 60 months,Debt consolidation,38.0,Verified,256xx,11765.48,4.0,5.0,204.0,17.9,29318.0,5210.0,11.0
12000.0,IL,81000.0,Individual,27.78,Aug-1993,10+ years,Member Center Manager,704.0,700.0,D,MORTGAGE,67809111,f,288.07,15.41,12000.0,4.0,11.0,0.0,0.0,debt_consolidation,38650.0,88.2,D1, 60 months,Debt consolidation,43.0,Not Verified,615xx,288.07,7.0,6.0,268.0,97.7,727.0,19228.0,7.0
5000.0,TX,40000.0,Individual,5.22,May-1998,< 1 year,cashier,664.0,660.0,B,OWN,68010293,w,159.4,9.17,5000.0,2.0,5.0,0.0,0.0,credit_card,6412.0,82.2,B2, 36 months,Credit card refinancing,18.0,Not Verified,751xx,159.18,3.0,64.0,211.0,95.9,204.0,16578.0,0.0
16800.0,MI,80000.0,Individual,10.58,May-2008,4 years,Steward,714.0,710.0,C,OWN,68202784,w,373.63,11.99,16800.0,0.0,9.0,0.0,0.0,credit_card,7773.0,32.1,C1, 60 months,Credit card refinancing,19.0,Not Verified,497xx,11297.98,4.0,11.0,78.0,20.7,11664.0,3775.0,4.0
